date,price,monthly,yearly
93,20140221.0,10.9,10.9,10.9,-1.901,-17.4404
94,20140222.0,2.0,16.0,8.999,1.901,21.1246
95,20140222.0,10.9,10.9,10.9,-1.199,-11.0
96,20140223.0,2.0,16.0,9.701,1.199,12.3596
97,20140223.0,10.9,10.9,10.9,-3.252,-29.8349
98,20140224.0,2.0,16.0,7.648,3.252,42.5209
99,20140224.0,10.9,10.9,10.9,-3.267,-29.9725
100,20140225.0,1.25,15.0,7.633,3.267,42.801
101,20140225.0,10.9,10.9,10.9,-3.339,-30.633
102,20140226.0,0.65,15.0,7.561,3.339,44.1608
103,20140226.0,10.9,10.9,10.9,-2.956,-27.1193
104,20140227.0,2.0,17.0,7.944,2.956,37.2105
105,20140227.0,10.9,10.9,10.9,-4.718,-43.2844
106,20140228.0,2.0,14.0,6.182,4.718,76.3183
107,20140228.0,10.9,10.9,10.9,-3.71,-34.0367
108,20140301.0,3.0,14.0,7.19,3.71,51.5994
109,20140301.0,10.9,10.9,10.9,-3.23,-29.633
110,20140302.0,1.6,14.0,7.67,3.23,42.1121
111,20140302.0,10.9,10.9,10.9,-2.916,-26.7523
112,20140303.0,1.6,17.0,7.984,2.916,36.523
113,20140303.0,10.9,10.9,10.9,-4.759,-43.6606
114,20140304.0,1.0,14.0,6.141,4.759,77.4955
115,20140304.0,10.9,10.9,10.9,-4.71,-43.211
116,20140305.0,1.6,14.0,6.19,4.71,76.0905
117,20140305.0,10.9,10.9,10.9,-2.754,-25.2661
118,20140306.0,1.0,17.0,8.146,2.754,33.808
119,20140306.0,10.9,10.9,10.9,-2.851,-26.156
120,20140307.0,1.6,17.0,8.049,2.851,35.4205
121,20140307.0,10.9,10.9,10.9,-1.585,-14.5413
122,20140308.0,1.33,16.0,9.315,1.585,17.0156
123,20140308.0,10.9,10.9,10.9,-3.046,-27.945
124,20140309.0,2.6,14.0,7.854,3.046,38.7828
125,20140309.0,10.9,10.9,10.9,-2.946,-27.0275
126,20140310.0,2.6,16.0,7.954,2.946,37.038
127,20140310.0,10.9,10.9,10.9,-3.319,-30.4495
128,20140311.0,2.0,15.0,7.581,1.436,18.9421
129,20140311.0,2.0,15.0,9.017,-1.005,-11.1456
130,20140312.0,2.6,15.0,8.012,2.888,36.0459
131,20140312.0,10.9,10.9,10.9,-4.91,-45.0459
132,20140313.0,2.0,14.0,5.99,4.91,81.9699
133,20140313.0,10.9,10.9,10.9,-4.545,-41.6972
134,20140314.0,2.0,14.0,6.355,4.545,71.5185
135,20140314.0,10.9,10.9,10.9,-4.007,-36.7615
136,20140315.0,2.0,14.0,6.893,4.007,58.1314
137,20140315.0,10.9,10.9,10.9,-2.057,-18.8716
138,20140316.0,4.0,14.0,8.843,2.057,23.2613
139,20140316.0,10.9,10.9,10.9,-4.713,-43.2385
140,20140317.0,2.4,14.0,6.187,4.713,76.1759
141,20140317.0,10.9,10.9,10.9,-2.68,-24.5872
142,20140318.0,2.4,20.0,8.22,-0.534,-6.4964
143,20140319.0,2.4,20.0,7.686,3.214,41.8163
144,20140319.0,10.9,10.9,10.9,-2.031,-18.633
145,20140320.0,2.4,19.0,8.869,0.556,6.269
146,20140321.0,2.4,22.0,9.425,1.475,15.6499
147,20140321.0,10.9,10.9,10.9,0.02,0.1835
148,20140322.0,4.0,22.0,10.92,0.77,7.0513
149,20140323.0,4.0,22.0,11.69,-1.358,-11.6168
150,20140324.0,2.6,22.0,10.332,-0.346,-3.3488
151,20140325.0,2.6,22.0,9.986,0.158,1.5822
152,20140326.0,2.6,20.0,10.144,-0.241,-2.3758
153,20140327.0,2.6,20.0,9.903,-0.519,-5.2408
154,20140329.0,4.0,20.0,9.384,1.273,13.5656
155,20140330.0,4.0,20.0,10.657,0.943,8.8486
156,20140330.0,11.6,11.6,11.6,-3.53,-30.431
157,20140331.0,2.6,20.0,8.07,3.53,43.7423
158,20140331.0,11.6,11.6,11.6,-1.866,-16.0862
159,20140401.0,2.6,20.0,9.734,1.866,19.1699
160,20140401.0,11.6,11.6,11.6,-1.302,-11.2241
161,20140402.0,2.6,20.0,10.298,-0.223,-2.1655
162,20140403.0,2.6,20.0,10.075,1.525,15.1365
163,20140403.0,11.6,11.6,11.6,-1.45,-12.5
164,20140404.0,2.6,20.0,10.15,0.877,8.6404
165,20140405.0,2.5,20.0,11.027,0.573,5.1963
166,20140405.0,11.6,11.6,11.6,0.0,0.0
167,20140406.0,11.6,11.6,11.6,-0.012,-0.1034
168,20140406.0,3.0,20.0,11.588,-0.576,-4.9707
169,20140407.0,3.0,20.0,11.012,0.588,5.3396
170,20140407.0,11.6,11.6,11.6,-3.206,-27.6379
171,20140408.0,2.6,20.0,8.394,3.206,38.1939
172,20140408.0,11.6,11.6,11.6,-2.159,-18.6121
173,20140409.0,1.75,20.0,9.441,0.01,0.1059
174,20140410.0,1.4,17.0,9.451,-1.721,-18.2097
175,20140411.0,1.94,16.0,7.73,3.47,44.89
176,20140411.0,11.2,11.2,11.2,-2.961,-26.4375
177,20140412.0,1.88,15.0,8.239,1.976,23.9835
178,20140413.0,3.13,16.0,10.215,0.985,9.6427
179,20140413.0,11.2,11.2,11.2,-2.803,-25.0268
180,20140414.0,2.6,16.0,8.397,2.803,33.381
181,20140414.0,11.2,11.2,11.2,-3.006,-26.8393
182,20140415.0,2.5,16.0,8.194,1.606,19.5997
183,20140415.0,9.8,9.8,9.8,-0.639,-6.5204
184,20140416.0,1.3,16.0,9.161,0.639,6.9752
185,20140416.0,9.8,9.8,9.8,-2.095,-21.3776
186,20140417.0,1.4,16.0,7.705,2.095,27.1901
187,20140417.0,9.8,9.8,9.8,-2.817,-28.7449
188,20140418.0,2.0,14.0,6.983,2.817,40.3408
189,20140418.0,9.8,9.8,9.8,-3.406,-34.7551
190,20140419.0,2.0,12.0,6.394,3.406,53.2687
191,20140419.0,9.8,9.8,9.8,-0.002,-0.0204
192,20140420.0,2.78,16.0,9.798,0.002,0.0204
