date,price,monthly,yearly
2011年02月,1.71,-2.8,-22.6
2011年01月,1.76,2.9,-5.4
2010年12月,1.71,-14.1,13.2
2010年11月,1.99,-8.3,32.7
2010年10月,2.17,-0.9,37.3
2010年09月,2.19,-7.6,11.2
2010年08月,2.37,9.7,26.7
2010年07月,2.16,18.7,26.3
2010年06月,1.82,-19.8,5.8
2010年05月,2.27,-18.6,17.6
2010年04月,2.79,17.7,43.8
2010年03月,2.37,7.2,65.7
2010年02月,2.21,18.8,90.5
2010年01月,1.86,23.2,59.0
2009年12月,1.51,0.7,33.6
2009年11月,1.5,-5.1,22.0
2009年10月,1.58,-19.8,2.6
2009年09月,1.97,5.3,14.5
2009年08月,1.87,9.4,6.9
2009年07月,1.71,-0.6,-0.6
2009年06月,1.72,-10.9,11.7
2009年05月,1.93,-0.5,27.8
2009年04月,1.94,35.7,23.6
2009年03月,1.43,23.3,9.2
2009年02月,1.16,-0.9,-20.5
2009年01月,1.17,3.5,-4.9
2008年12月,1.13,-8.1,-9.6
2008年11月,1.23,-20.1,-11.5
2008年10月,1.54,-10.5,-2.5
2008年09月,1.72,-1.7,-5.0
2008年08月,1.75,1.7,-13.8
2008年07月,1.72,11.7,1.2
2008年06月,1.54,2.0,0.0
2008年05月,1.51,-3.8,11.0
2008年04月,1.57,19.8,14.6
2008年03月,1.31,-10.3,22.4
2008年02月,1.46,18.7,47.5
2008年01月,1.23,-1.6,25.5
2007年12月,1.25,-10.1,20.2
2007年11月,1.39,-12.0,41.8
2007年10月,1.58,-12.7,43.6
2007年09月,1.81,-10.8,8.4
2007年08月,2.03,19.4,35.3
2007年07月,1.7,10.4,31.8
2007年06月,1.54,13.2,19.4
2007年05月,1.36,-0.7,-3.5
2007年04月,1.37,28.0,-12.7
2007年03月,1.07,8.1,-14.4
2007年02月,0.99,1.0,-22.0
2007年01月,0.98,-5.8,-24.6
2006年12月,1.04,6.1,-6.3
2006年11月,0.98,-10.9,-5.8
2006年10月,1.1,-34.1,-13.4
2006年09月,1.67,11.3,18.4
2006年08月,1.5,16.3,0.7
2006年07月,1.29,0.0,-14.0
2006年06月,1.29,-8.5,-1.5
2006年05月,1.41,-10.2,7.6
2006年04月,1.57,25.6,31.9
2006年03月,1.25,-1.6,31.6
2006年02月,1.27,-2.3,29.6
2006年01月,1.3,17.1,80.6
2005年12月,1.11,6.7,70.8
2005年11月,1.04,-18.1,44.4
2005年10月,1.27,-9.9,41.1
2005年09月,1.41,-5.4,8.5
