2012年10月,4.13,-3.1,-10.6
2012年09月,4.26,2.4,6.0
2012年08月,4.16,-2.1,15.2
2012年07月,4.25,-10.5,10.7
2012年06月,4.75,-27.6,21.5
2012年05月,6.56,-17.6,38.4
2012年04月,7.96,-16.8,35.4
2012年03月,9.57,20.4,20.1
2012年02月,7.95,-19.2,19.5
2012年01月,9.84,61.0,72.9
2011年12月,6.11,28.9,44.4
2011年11月,4.74,2.6,4.6
2011年10月,4.62,14.9,10.0
2011年09月,4.02,11.4,10.7
2011年08月,3.61,-6.0,5.2
2011年07月,3.84,-1.8,17.1
2011年06月,3.91,-17.5,3.7
2011年05月,4.74,-19.4,-4.0
2011年04月,5.88,-26.2,-1.5
2011年03月,7.97,19.8,50.4
2011年02月,6.65,16.9,17.1
2011年01月,5.69,34.5,11.6
2010年12月,4.23,-6.6,-10.9
2010年11月,4.53,7.9,14.4
2010年10月,4.2,15.7,22.4
2010年09月,3.63,5.8,12.4
2010年08月,3.43,4.6,22.9
2010年07月,3.28,-13.0,17.1
2010年06月,3.77,-23.7,19.3
2010年05月,4.94,-17.3,14.1
2010年04月,5.97,12.6,9.5
2010年03月,5.3,-6.7,-11.5
2010年02月,5.68,11.4,-7.9
2010年01月,5.1,7.4,-27.6
2009年12月,4.75,19.9,9.2
2009年11月,3.96,15.5,18.6
2009年10月,3.43,6.2,22.9
2009年09月,3.23,15.8,31.8
2009年08月,2.79,-0.4,20.8
2009年07月,2.8,-11.4,18.6
2009年06月,3.16,-27.0,15.3
2009年05月,4.33,-20.6,14.6
2009年04月,5.45,-9.0,5.0
2009年03月,5.99,-2.9,-1.3
2009年02月,6.17,-12.4,-2.4
2009年01月,7.04,61.8,45.8
2008年12月,4.35,30.2,-2.5
2008年11月,3.34,19.7,-19.5
2008年10月,2.79,13.9,-16.5
2008年09月,2.45,6.1,-15.2
2008年08月,2.31,-2.1,-14.4
2008年07月,2.36,-13.9,-9.9
2008年06月,2.74,-27.5,2.6
2008年05月,3.78,-27.2,9.9
2008年04月,5.19,-14.5,15.3
2008年03月,6.07,-4.0,32.2
2008年02月,6.32,30.8,45.3
2008年01月,4.83,8.3,37.6
2007年12月,4.46,7.5,37.7
2007年11月,4.15,24.3,57.8
2007年10月,3.34,15.6,41.5
2007年09月,2.89,7.0,28.4
2007年08月,2.7,3.1,38.5
2007年07月,2.62,-1.9,39.4
2007年06月,2.67,-22.4,14.1
2007年05月,3.44,-23.6,4.9
2007年04月,4.5,-2.0,6.9
2007年03月,4.59,5.5,4.3
2007年02月,4.35,23.9,0.5
2007年01月,3.51,8.3,-24.2
2006年12月,3.24,23.2,-2.4
2006年11月,2.63,11.4,-13.2
2006年10月,2.36,4.9,-5.6
2006年09月,2.25,15.4,1.8
2006年08月,1.95,3.7,-3.9
2006年07月,1.88,-19.7,-5.1
2006年06月,2.34,-28.7,15.3
2006年05月,3.28,-22.1,10.4
2006年04月,4.21,-4.3,6.6
2006年03月,4.4,1.6,20.2
2006年02月,4.33,-6.5,13.6
2006年01月,4.63,39.5,48.9
2005年12月,3.32,9.6,24.3
2005年11月,3.03,21.2,31.2
2005年10月,2.5,13.1,12.1
2005年09月,2.21,8.9,14.5
2005年08月,2.03,2.5,17.3
2005年07月,1.98,-2.5,25.3
2005年06月,2.03,-31.6,12.8
2005年05月,2.97,-24.8,4.6
2005年04月,3.95,7.9,13.5
2005年03月,3.66,-3.9,-3.2
2005年02月,3.81,22.5,13.4
2005年01月,3.11,16.5,-11.1
2004年12月,2.67,15.6,-7.0
2004年11月,2.31,3.6,-12.2
2004年10月,2.23,15.5,-0.4
2004年09月,1.93,11.6,-0.5
2004年08月,1.73,9.5,8.8
2004年07月,1.58,-12.2,18.8
2004年06月,1.8,-36.6,9.8
2004年05月,2.84,-18.4,15.0
2004年04月,3.48,-7.9,-11.7
2004年03月,3.78,12.5,-0.8
2004年02月,3.36,-4.0,-2.0
2004年01月,3.5,22.0,-2.2
2003年12月,2.87,9.1,25.4
2003年11月,2.63,17.4,46.9
2003年10月,2.24,15.5,48.4
2003年09月,1.94,22.0,50.5
2003年08月,1.59,19.5,32.2
2003年07月,1.33,-18.9,21.9
2003年06月,1.64,-33.6,10.3
2003年05月,2.47,-37.3,-9.0
2003年04月,3.94,3.4,1.0
2003年03月,3.81,11.1,-24.0
2003年02月,3.43,-4.2,-15.1
2003年01月,3.58,43.8,-31.3
