date,price,monthly,yearly
2011年03月,10.71,2.4,64.3
2011年02月,10.46,2.5,60.4
2011年1月,10.2,-1.7,59.4
2010年12月,10.38,-6.5,61.4
2010年11月,11.1,18.5,77.6
2010年10月,9.37,24.4,59.4
2010年09月,7.53,8.2,34.0
2010年08月,6.96,0.9,24.7
2010年07月,6.9,0.7,23.7
2010年06月,6.85,0.9,25.5
2010年05月,6.79,2.6,23.7
2010年04月,6.62,1.5,24.4
2010年03月,6.52,0.0,26.8
2010年02月,6.52,1.9,31.7
2010年1月,6.4,-0.5,32.2
2009年12月,6.43,2.9,30.7
2009年11月,6.25,6.3,23.0
2009年10月,5.88,4.6,-1.5
2009年09月,5.62,0.7,-7.4
2009年08月,5.58,0.0,-12.8
2009年07月,5.58,2.2,-13.2
2009年06月,5.46,-0.5,-13.9
2009年05月,5.49,3.2,-13.1
2009年04月,5.32,3.5,-16.2
2009年03月,5.14,3.8,-18.2
2009年02月,4.95,2.3,-22.2
2009年1月,4.84,-1.6,-23.1
2008年12月,4.92,-3.1,-22.2
2008年11月,5.08,-14.9,-19.4
2008年10月,5.97,-1.6,-3.4
2008年09月,6.07,-5.2,2.2
2008年08月,6.4,-0.5,6.7
2008年07月,6.43,1.4,9.7
2008年06月,6.34,0.3,11.4
2008年05月,6.32,-0.5,11.5
2008年04月,6.35,1.1,9.1
2008年03月,6.28,-1.3,9.8
2008年02月,6.36,1.1,12.2
2008年1月,6.29,-0.5,12.3
2007年12月,6.32,0.3,17.5
2007年11月,6.3,1.9,18.0
2007年10月,6.18,4.0,15.7
2007年09月,5.94,-1.0,7.0
2007年08月,6.0,2.4,7.9
2007年07月,5.86,3.0,4.6
2007年06月,5.69,0.4,2.0
2007年05月,5.67,-2.6,1.8
2007年04月,5.82,1.7,3.7
2007年03月,5.72,0.9,2.5
2007年02月,5.67,1.3,1.4
2007年1月,5.6,4.1,-0.2
2006年12月,5.38,0.7,-4.4
2006年11月,5.34,0.0,-2.6
2006年10月,5.34,-3.8,-3.1
2006年09月,5.55,-0.2,5.1
2006年08月,5.56,-0.7,9.0
2006年07月,5.6,0.4,8.9
2006年06月,5.58,0.2,11.2
2006年05月,5.57,-0.7,13.4
2006年04月,5.61,0.5,18.1
2006年03月,5.58,-0.2,13.6
2006年02月,5.59,-0.4,17.7
2006年1月,5.61,-0.4,20.4
2005年12月,5.63,2.7,20.8
2005年11月,5.48,-0.5,16.1
2005年10月,5.51,4.4,11.8
2005年09月,5.28,3.5,-0.8
2005年08月,5.1,-0.8,-9.9
2005年07月,5.14,2.4,-10.6
2005年06月,5.02,2.2,-15.3
2005年05月,4.91,3.4,-19.0
2005年04月,4.75,-3.3,-22.5
2005年03月,4.91,3.4,-19.1
2005年02月,4.75,1.9,-20.7
2005年1月,4.66,0.0,-21.7
2004年12月,4.66,-1.3,-20.7
2004年11月,4.72,-4.3,-24.8
2004年10月,4.93,-7.3,-16.4
2004年09月,5.32,-6.0,9.7
2004年08月,5.66,-1.6,26.9
2004年07月,5.75,-3.0,30.1
2004年06月,5.93,-2.1,36.6
