date,price,monthly,yearly
2011年03月,5.97,4.7,38.5
2011年02月,5.7,9.6,35.4
2011年1月,5.2,7.2,37.2
2010年12月,4.85,4.8,32.9
2010年11月,4.63,0.9,21.8
2010年10月,4.59,-6.5,13.1
2010年09月,4.91,-1.8,13.4
2010年08月,5.0,-1.6,5.5
2010年07月,5.08,-4.0,4.1
2010年06月,5.29,1.7,4.8
2010年05月,5.2,5.9,1.6
2010年04月,4.91,13.9,12.4
2010年03月,4.31,2.4,9.1
2010年02月,4.21,11.1,7.7
2010年1月,3.79,3.8,-5.7
2009年12月,3.65,-3.9,-8.3
2009年11月,3.8,-6.4,-7.5
2009年10月,4.06,-6.2,2.3
2009年09月,4.33,-8.6,7.7
2009年08月,4.74,-2.9,23.1
2009年07月,4.88,-3.4,29.8
2009年06月,5.05,-1.4,25.9
2009年05月,5.12,17.2,22.2
2009年04月,4.37,10.6,2.1
2009年03月,3.95,1.0,-2.9
2009年02月,3.91,-2.7,-5.6
2009年1月,4.02,1.0,4.1
2008年12月,3.98,-3.2,10.9
2008年11月,4.11,3.5,19.1
2008年10月,3.97,-1.2,17.1
2008年09月,4.02,4.4,21.5
2008年08月,3.85,2.4,22.6
2008年07月,3.76,-6.2,26.2
2008年06月,4.01,-4.3,27.7
2008年05月,4.19,-2.1,18.7
2008年04月,4.28,5.2,16.0
2008年03月,4.07,-1.7,2.0
2008年02月,4.14,7.3,6.2
2008年1月,3.86,7.5,9.0
2007年12月,3.59,4.1,3.8
2007年11月,3.45,1.8,2.1
2007年10月,3.39,2.4,-1.5
2007年09月,3.31,5.4,-2.1
2007年08月,3.14,5.4,-7.9
2007年07月,2.98,-5.1,-15.6
2007年06月,3.14,-11.0,-19.9
2007年05月,3.53,-4.3,-13.7
2007年04月,3.69,-7.5,-6.8
2007年03月,3.99,2.3,7.0
2007年02月,3.9,10.2,8.9
2007年1月,3.54,2.3,-0.8
2006年12月,3.46,2.4,1.2
2006年11月,3.38,-1.7,-2.3
2006年10月,3.44,1.8,-1.1
2006年09月,3.38,-0.9,-3.4
2006年08月,3.41,-3.4,6.6
2006年07月,3.53,-9.9,15.0
2006年06月,3.92,-4.2,28.5
2006年05月,4.09,3.3,30.3
2006年04月,3.96,6.2,23.0
2006年03月,3.73,4.2,13.4
2006年02月,3.58,0.3,5.3
2006年1月,3.57,4.4,10.2
2005年12月,3.42,-1.2,6.9
2005年11月,3.46,-0.6,9.1
2005年10月,3.48,-0.6,8.1
2005年09月,3.5,9.4,5.1
2005年08月,3.2,4.2,-7.8
2005年07月,3.07,0.7,-12.5
2005年06月,3.05,-2.9,-19.1
2005年05月,3.14,-2.5,-20.3
2005年04月,3.22,-2.1,-15.3
2005年03月,3.29,-3.2,-5.7
2005年02月,3.4,4.9,-1.7
2005年1月,3.24,1.3,-9.2
2004年12月,3.2,0.9,-4.5
2004年11月,3.17,-1.6,-4.2
2004年10月,3.22,-3.3,2.2
2004年09月,3.33,-4.0,5.7
2004年08月,3.47,-1.1,17.6
2004年07月,3.51,-6.9,21.0
2004年06月,3.77,-4.3,26.5
2004年05月,3.94,3.7,29.2
2004年04月,3.8,8.9,21.8
2004年03月,3.49,0.9,10.8
2004年02月,3.46,-3.1,9.8
2004年1月,3.57,6.6,15.2
2003年12月,3.35,1.2,16.8
2003年11月,3.31,5.1,9.1
2003年10月,3.15,0.0,5.6
2003年09月,3.15,6.8,19.9
2003年08月,2.95,1.7,21.3
2003年07月,2.9,-2.7,20.7
2003年06月,2.98,-2.3,21.5
2003年05月,3.05,-2.2,20.1
2003年04月,3.12,-1.0,3.2
2003年03月,3.15,0.0,-7.8
2003年02月,3.15,1.6,-12.3
2003年1月,3.1,11.9,-20.5
