date,price,monthly,yearly
2011年02月,5.1,1.6,-2.7
2011年01月,5.02,16.5,8.7
2010年12月,4.31,-8.5,-1.6
2010年11月,4.71,6.3,25.9
2010年10月,4.43,26.2,36.3
2010年09月,3.51,10.0,10.4
2010年08月,3.19,24.6,10.4
2010年07月,2.56,-8.6,2.8
2010年06月,2.8,-30.0,5.7
2010年05月,4.0,-18.2,13.0
2010年04月,4.89,2.7,19.3
2010年03月,4.76,-9.2,13.9
2010年02月,5.24,13.4,26.6
2010年01月,4.62,5.5,6.7
2009年12月,4.38,17.1,34.8
2009年11月,3.74,15.1,24.7
2009年10月,3.25,2.2,18.6
2009年09月,3.18,10.0,38.9
2009年08月,2.89,16.1,39.6
2009年07月,2.49,-6.0,22.1
2009年06月,2.65,-25.1,13.7
2009年05月,3.54,-13.7,6.3
2009年04月,4.1,-1.9,0.7
2009年03月,4.18,1.0,-0.5
2009年02月,4.14,-4.4,-7.2
2009年01月,4.33,33.2,12.8
2008年12月,3.25,8.3,-5.0
2008年11月,3.0,9.5,-7.7
2008年10月,2.74,19.7,-13.8
2008年09月,2.29,10.6,-16.1
2008年08月,2.07,1.5,-22.5
2008年07月,2.04,-12.4,-10.9
2008年06月,2.33,-30.0,11.0
2008年05月,3.33,-18.2,25.2
2008年04月,4.07,-3.1,25.2
2008年03月,4.2,-5.8,25.7
2008年02月,4.46,16.1,23.5
2008年01月,3.84,12.3,23.1
2007年12月,3.42,5.2,11.0
2007年11月,3.25,2.2,31.0
2007年10月,3.18,16.5,42.0
2007年09月,2.73,2.2,22.4
2007年08月,2.67,16.6,52.6
2007年07月,2.29,9.0,44.9
2007年06月,2.1,-21.1,4.0
2007年05月,2.66,-18.2,-3.3
2007年04月,3.25,-2.7,-3.0
2007年03月,3.34,-7.5,-8.5
2007年02月,3.61,15.7,1.1
2007年01月,3.12,1.3,-22.2
2006年12月,3.08,24.2,5.1
2006年11月,2.48,10.7,-2.7
2006年10月,2.24,0.4,-6.3
2006年09月,2.23,27.4,7.2
2006年08月,1.75,10.8,-9.8
2006年07月,1.58,-21.8,-9.2
2006年06月,2.02,-26.5,23.2
2006年05月,2.75,-17.9,13.6
2006年04月,3.35,-8.2,17.5
2006年03月,3.65,2.2,34.7
2006年02月,3.57,-11.0,19.4
2006年01月,4.01,36.9,61.0
2005年12月,2.93,14.9,36.3
2005年11月,2.55,6.7,23.8
2005年10月,2.39,14.9,16.6
2005年09月,2.08,7.2,7.2
2005年08月,1.94,11.5,14.1
2005年07月,1.74,6.1,29.9
2005年06月,1.64,-32.2,18.0
2005年05月,2.42,-15.1,22.8
2005年04月,2.85,5.2,14.9
2005年03月,2.71,-9.4,-2.9
2005年02月,2.99,20.1,-2.9
2005年01月,2.49,15.8,-22.9
2004年12月,2.15,4.4,-22.1
2004年11月,2.06,0.5,-17.3
2004年10月,2.05,5.7,-4.2
2004年09月,1.94,14.1,12.8
2004年08月,1.7,26.9,17.2
2004年07月,1.34,-3.6,24.1
2004年06月,1.39,-29.4,3.0
2004年05月,1.97,-20.6,-1.0
2004年04月,2.48,-11.1,-12.1
2004年03月,2.79,-9.4,-7.6
2004年02月,3.08,-4.6,7.3
2004年01月,3.23,17.0,16.6
2003年12月,2.76,10.8,15.0
2003年11月,2.49,16.4,31.4
2003年10月,2.14,24.4,40.1
2003年09月,1.72,18.6,-1.6
2003年08月,1.45,34.3,-9.8
2003年07月,1.08,-20.0,8.0
2003年06月,1.35,-32.2,7.9
2003年05月,1.99,-29.4,-8.5
2003年04月,2.82,-6.6,-6.6
2003年03月,3.02,5.2,-10.0
2003年02月,2.87,3.6,2.5
2003年01月,2.77,20.4,5.0
