date,price,monthly,yearly
2010年12月,5.4,-3.6,-2.0
2010年11月,5.6,8.1,15.7
2010年10月,5.18,12.1,35.2
2010年09月,4.62,4.5,19.1
2010年08月,4.42,14.2,33.1
2010年07月,3.87,1.0,27.3
2010年06月,3.83,-36.1,21.6
2010年05月,5.99,-11.0,23.0
2010年04月,6.73,-7.7,19.8
2010年03月,7.29,2.2,15.5
2010年02月,7.13,18.8,13.5
2010年1月,6.0,8.9,-7.8
2009年12月,5.51,13.8,14.3
2009年11月,4.84,26.4,16.6
2009年10月,3.83,-1.3,8.5
2009年09月,3.88,16.9,20.5
2009年08月,3.32,9.2,8.1
2009年07月,3.04,-3.5,9.0
2009年06月,3.15,-35.3,8.6
2009年05月,4.87,-13.3,16.8
2009年04月,5.62,-10.9,2.6
2009年03月,6.31,0.5,-5.5
2009年02月,6.28,-3.5,-1.3
2009年1月,6.51,35.1,33.1
2008年12月,4.82,16.1,6.4
2008年11月,4.15,17.6,-7.6
2008年10月,3.53,9.6,-7.3
2008年09月,3.22,4.9,-1.2
2008年08月,3.07,10.0,-1.3
2008年07月,2.79,-3.8,-1.8
2008年06月,2.9,-30.5,8.2
2008年05月,4.17,-23.9,16.8
2008年04月,5.48,-18.0,22.9
2008年03月,6.68,5.0,40.6
2008年02月,6.36,30.1,28.7
2008年1月,4.89,7.9,22.3
2007年12月,4.53,0.9,24.8
2007年11月,4.49,17.8,43.9
2007年10月,3.81,16.9,45.4
2007年09月,3.26,4.8,7.2
2007年08月,3.11,9.5,22.4
2007年07月,2.84,6.0,27.9
2007年06月,2.68,-24.9,7.2
2007年05月,3.57,-20.0,3.5
2007年04月,4.46,-6.1,6.2
2007年03月,4.75,-3.8,5.1
2007年02月,4.94,23.5,13.6
2007年1月,4.0,10.2,-8.7
2006年12月,3.63,16.3,4.0
2006年11月,3.12,19.1,3.3
2006年10月,2.62,-13.8,-5.8
2006年09月,3.04,19.7,18.8
2006年08月,2.54,14.4,5.0
2006年07月,2.22,-11.2,-1.3
2006年06月,2.5,-27.5,28.2
2006年05月,3.45,-17.9,6.5
2006年04月,4.2,-7.1,8.8
2006年03月,4.52,3.9,9.4
2006年02月,4.35,-0.7,5.1
2006年1月,4.38,25.5,28.1
2005年12月,3.49,15.6,15.2
2005年11月,3.02,8.6,19.8
2005年10月,2.78,8.6,24.1
2005年09月,2.56,5.8,11.3
2005年08月,2.42,7.6,10.5
2005年07月,2.25,15.4,23.0
