date,price,monthly,yearly
2011年01月,8.06,8.5,40.9
2010年12月,7.43,3.5,35.3
2010年11月,7.18,5.3,31.3
2010年10月,6.82,-2.7,22.0
2010年09月,7.01,-3.8,15.5
2010年08月,7.29,1.5,8.8
2010年07月,7.18,3.0,-1.4
2010年06月,6.97,6.7,1.6
2010年05月,6.53,4.0,7.9
2010年04月,6.28,2.8,19.4
2010年03月,6.11,0.7,24.9
2010年02月,6.07,6.1,25.2
2010年01月,5.72,4.2,17.9
2009年12月,5.49,0.4,14.9
2009年11月,5.47,-2.1,11.6
2009年10月,5.59,-7.9,7.3
2009年09月,6.07,-9.4,12.2
2009年08月,6.7,-8.0,19.9
2009年07月,7.28,6.1,25.5
2009年06月,6.86,13.4,19.7
2009年05月,6.05,15.0,10.2
2009年04月,5.26,7.6,-3.1
2009年03月,4.89,0.8,-6.9
2009年02月,4.85,0.0,-8.0
2009年01月,4.85,1.5,-3.8
2008年12月,4.78,-2.4,-0.2
2008年11月,4.9,-6.0,4.5
2008年10月,5.21,-3.7,12.8
2008年09月,5.41,-3.2,13.7
2008年08月,5.59,-3.6,12.7
2008年07月,5.8,1.2,15.5
2008年06月,5.73,4.4,20.6
2008年05月,5.49,1.1,21.2
2008年04月,5.43,3.4,22.9
2008年03月,5.25,-0.4,19.3
2008年02月,5.27,4.6,20.3
2008年01月,5.04,5.2,19.1
2007年12月,4.79,2.1,12.4
2007年11月,4.69,1.5,11.7
2007年10月,4.62,-2.9,5.2
2007年09月,4.76,-4.0,-0.4
2007年08月,4.96,-1.2,-6.1
2007年07月,5.02,5.7,-14.2
2007年06月,4.75,4.9,-17.8
2007年05月,4.53,2.5,-15.0
2007年04月,4.42,0.5,-3.9
2007年03月,4.4,0.5,5.0
2007年02月,4.38,3.5,7.6
2007年01月,4.23,-0.7,7.1
2006年12月,4.26,1.4,16.7
2006年11月,4.2,-4.3,18.0
2006年10月,4.39,-8.2,23.3
2006年09月,4.78,-9.5,26.1
2006年08月,5.28,-9.7,37.9
2006年07月,5.85,1.2,57.7
2006年06月,5.78,8.4,68.5
2006年05月,5.33,15.9,63.0
2006年04月,4.6,9.8,42.4
2006年03月,4.19,2.9,27.4
2006年02月,4.07,3.0,21.9
2006年01月,3.95,8.2,21.9
2005年12月,3.65,2.5,15.1
2005年11月,3.56,0.0,10.6
2005年10月,3.56,-6.1,8.2
2005年09月,3.79,-1.0,3.3
2005年08月,3.83,3.2,-2.3
2005年07月,3.71,8.2,-7.0
2005年06月,3.43,4.9,-11.8
2005年05月,3.27,1.2,-10.9
2005年04月,3.23,-1.8,-6.1
2005年03月,3.29,-1.5,3.8
2005年02月,3.34,3.1,7.4
2005年01月,3.24,2.2,3.2
2004年12月,3.17,-1.6,4.6
2004年11月,3.22,-2.1,4.9
2004年10月,3.29,-10.4,4.1
2004年09月,3.67,-6.4,3.1
2004年08月,3.92,-1.8,1.6
2004年07月,3.99,2.6,4.2
2004年06月,3.89,6.0,6.6
2004年05月,3.67,6.7,7.3
2004年04月,3.44,8.5,7.8
2004年03月,3.17,1.9,2.3
2004年02月,3.11,-1.0,-0.6
2004年01月,3.14,3.6,-0.9
2003年12月,3.03,-1.3,8.0
2003年11月,3.07,-2.8,6.1
2003年10月,3.16,-11.2,4.3
2003年09月,3.56,-7.8,6.6
2003年08月,3.86,0.8,3.0
2003年07月,3.83,4.9,2.2
2003年06月,3.65,6.7,2.8
2003年05月,3.42,7.2,4.3
2003年04月,3.19,2.9,0.6
2003年03月,3.1,-1.0,1.1
2003年02月,3.13,-1.3,2.1
2003年01月,3.17,9.3,-0.7
