date,price,monthly,yearly
2010年08月,3.5,0.9,9.7
2010年07月,3.47,0.3,8.4
2010年06月,3.46,0.6,8.8
2010年05月,3.44,2.1,8.5
2010年04月,3.37,1.2,6.6
2010年03月,3.33,1.2,5.0
2010年02月,3.29,0.6,4.4
2010年1月,3.27,0.9,4.1
2009年12月,3.24,0.9,4.2
2009年11月,3.21,0.3,2.2
2009年10月,3.2,0.3,1.3
2009年09月,3.19,0.0,0.3
2009年08月,3.19,-0.3,0.3
2009年07月,3.2,0.6,1.6
2009年06月,3.18,0.3,1.3
2009年05月,3.17,0.3,1.9
2009年04月,3.16,-0.3,4.3
2009年03月,3.17,0.6,5.3
2009年02月,3.15,0.3,5.7
2009年1月,3.14,1.0,6.1
2008年12月,3.11,-1.0,6.5
2008年11月,3.14,-0.6,9.4
2008年10月,3.16,-0.6,10.9
2008年09月,3.18,0.0,11.6
2008年08月,3.18,1.0,12.8
2008年07月,3.15,0.3,13.7
2008年06月,3.14,1.0,13.4
2008年05月,3.11,2.6,13.9
2008年04月,3.03,0.7,12.2
2008年03月,3.01,1.0,11.1
2008年02月,2.98,0.7,10.0
2008年1月,2.96,1.4,9.6
2007年12月,2.92,1.7,9.4
2007年11月,2.87,0.7,10.4
2007年10月,2.85,0.0,10.0
2007年09月,2.85,1.1,11.8
2007年08月,2.82,1.8,10.6
2007年07月,2.77,0.0,9.1
2007年06月,2.77,1.5,9.5
2007年05月,2.73,1.1,8.3
2007年04月,2.7,-0.4,7.1
2007年03月,2.71,0.0,7.5
2007年02月,2.71,0.4,8.0
2007年1月,2.7,1.1,7.6
2006年12月,2.67,2.7,7.7
2006年11月,2.6,0.4,5.7
2006年10月,2.59,1.6,4.9
2006年09月,2.55,0.0,3.2
2006年08月,2.55,0.4,3.7
2006年07月,2.54,0.4,2.4
2006年06月,2.53,0.4,0.8
2006年05月,2.52,0.0,-0.8
2006年04月,2.52,0.0,-1.6
2006年03月,2.52,0.4,-1.9
2006年02月,2.51,0.0,-1.6
2006年1月,2.51,1.2,-0.8
2005年12月,2.48,0.8,-1.2
2005年11月,2.46,-0.4,-2.4
2005年10月,2.47,0.0,-3.5
2005年09月,2.47,0.4,-3.9
2005年08月,2.46,-0.8,-4.3
2005年07月,2.48,-1.2,-4.2
2005年06月,2.51,-1.2,-3.1
2005年05月,2.54,-0.8,-1.9
2005年04月,2.56,-0.4,-1.5
2005年03月,2.57,0.8,0.8
2005年02月,2.55,0.8,22.0
2005年1月,2.53,0.8,24.6
2004年12月,2.51,-0.4,25.5
2004年11月,2.52,-1.6,27.3
2004年10月,2.56,-0.4,42.2
2004年09月,2.57,0.0,45.2
2004年08月,2.57,-0.8,46.9
2004年07月,2.59,0.0,48.0
2004年06月,2.59,0.0,48.9
2004年05月,2.59,-0.4,49.7
2004年04月,2.6,2.0,50.3
2004年03月,2.55,22.0,47.4
2004年02月,2.09,3.0,20.8
2004年1月,2.03,1.5,17.3
2003年12月,2.0,1.0,0.9
2003年11月,1.98,10.0,0.9
2003年10月,1.8,1.7,0.4
2003年09月,1.77,1.1,0.2
2003年08月,1.75,0.0,0.4
2003年07月,1.75,0.6,0.4
2003年06月,1.74,0.6,1.1
2003年05月,1.73,0.0,1.8
2003年04月,1.73,0.0,3.1
2003年03月,1.73,0.0,4.0
2003年02月,1.73,0.0,5.6
2003年1月,1.73,6.1,6.6
